"0","000s:000ms:000us 374 ms"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:001B5388 CRC:07","SC:80","MMC:211.2MHz","Nrc:3",
"80","001s:860ms:809us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"81","001s:861ms:013us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"82","001s:861ms:181us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"83","001s:861ms:385us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"84","001s:861ms:553us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"85","001s:861ms:757us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"86","001s:861ms:926us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"87","001s:862ms:129us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"88","001s:862ms:298us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"89","001s:862ms:501us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"90","001s:862ms:670us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"91","001s:862ms:874us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"92","001s:863ms:042us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"93","001s:863ms:246us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"94","001s:863ms:414us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"95","001s:863ms:618us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"96","001s:863ms:787us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
