"0","000s:000ms:000us 374 ms"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:001B5388 CRC:07","SC:80","MMC:211.2MHz","Nrc:3",
"10745","014s:408ms:282us 443 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00077B98 CRC:47","SC:8","MMC:211.2MHz","Nrc:25",
"10746","014s:408ms:283us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10747","014s:408ms:391us 108 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:21551",
"10748","014s:408ms:392us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10749","014s:409ms:215us 823 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00077B88 CRC:5E","SC:16","MMC:198.0MHz","Nrc:25",
"10750","014s:409ms:215us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10751","014s:409ms:386us 170 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:33893",
"10752","014s:409ms:387us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10753","014s:414ms:221us 004 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00404010 CRC:62","SC:8","MMC:211.2MHz","Nrc:25",
"10754","014s:414ms:222us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10755","014s:414ms:354us 132 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:26167",
"10756","014s:414ms:354us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10757","014s:415ms:295us 940 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:004040C8 CRC:16","SC:8","MMC:211.2MHz","Nrc:25",
"10758","014s:415ms:295us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10759","014s:415ms:382us 087 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:17301",
"10760","014s:415ms:382us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10761","014s:416ms:707us 001 ms"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:00402048 CRC:39","SC:8","MMC:211.2MHz","Nrc:25",
"10762","014s:416ms:707us 000 us","  R1 ","RSP:190000090031 [47:0]","-","MMC:-","Ncr:9",
"10763","014s:416ms:751us 044 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:8786",
"10764","014s:416ms:752us 000 us","  R1b","RSP:0C00000C001D [47:0]","-","MMC:-","Ncr:8",
"10765","014s:416ms:925us 173 us"," CMD13(SEND_STATUS)","ARG:00010000 CRC:29","-","MMC:211.2MHz","Nrc:1300",
"10766","014s:416ms:926us 000 us","  R1 ","RSP:0D000009003F [47:0]","-","MMC:-","Ncr:6",
"10767","014s:417ms:197us 271 us"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:001B4678 CRC:17","SC:80","MMC:198.0MHz","Nrc:25",
"10768","014s:417ms:197us 000 us","  R1 ","RSP:190000090031 [47:0]","-","MMC:-","Ncr:9",
"10769","014s:417ms:511us 314 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:62325",
"10770","014s:417ms:512us 000 us","  R1b","RSP:0C00000C001D [47:0]","-","MMC:-","Ncr:8",
"10771","014s:417ms:686us 174 us"," CMD13(SEND_STATUS)","ARG:00010000 CRC:29","-","MMC:198.0MHz","Nrc:1292",
"10772","014s:417ms:686us 000 us","  R1 ","RSP:0D000009003F [47:0]","-","MMC:-","Ncr:6",
"10773","014s:417ms:796us 110 us"," CMD06(SWITCH)","ARG:03200101 CRC:43","Triggers the Flush","MMC:211.2MHz","Nrc:25",
"10774","014s:417ms:796us 000 us","  R1b","RSP:0600000800CB [47:0]","-","MMC:-","Ncr:9",
"10775","014s:418ms:879us 001 ms"," CMD13(SEND_STATUS)","ARG:00010000 CRC:29","-","MMC:211.2MHz","Nrc:Over 64K Cycles",
"10776","014s:418ms:879us 000 us","  R1 ","RSP:0D000009003F [47:0]","-","MMC:-","Ncr:6",
"10777","014s:418ms:927us 047 us"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:001B46C8 CRC:7D","SC:8","MMC:198.0MHz","Nrc:25",
"10778","014s:418ms:927us 000 us","  R1 ","RSP:190000090031 [47:0]","-","MMC:-","Ncr:9",
"10779","014s:419ms:105us 178 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:35367",
"10780","014s:419ms:105us 000 us","  R1b","RSP:0C00000C001D [47:0]","-","MMC:-","Ncr:8",
"10781","014s:419ms:275us 169 us"," CMD13(SEND_STATUS)","ARG:00010000 CRC:29","-","MMC:211.2MHz","Nrc:1296",
"10782","014s:419ms:275us 000 us","  R1 ","RSP:0D000009003F [47:0]","-","MMC:-","Ncr:6",
"10783","014s:419ms:347us 071 us"," CMD35(ERASE_GROUP_START)","ARG:00403020 CRC:2A","-","MMC:198.0MHz","Nrc:25",
"10784","014s:419ms:347us 000 us","  R1 ","RSP:230000090059 [47:0]","-","MMC:-","Ncr:8",
"10785","014s:419ms:367us 020 us"," CMD36(ERASE_GROUP_END)","ARG:00403047 CRC:48","-","MMC:198.0MHz","Nrc:25",
"10786","014s:419ms:367us 000 us","  R1 ","RSP:24000009004F [47:0]","-","MMC:-","Ncr:8",
"10787","014s:419ms:388us 020 us"," CMD38(ERASE)","ARG:00000003 CRC:49","-","MMC:198.0MHz","Nrc:25",
"10788","014s:419ms:388us 000 us","  R1b","RSP:260000080081 [47:0]","-","MMC:-","Ncr:8",
"10789","014s:422ms:473us 003 ms"," CMD13(SEND_STATUS)","ARG:00010000 CRC:29","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10790","014s:422ms:473us 000 us","  R1 ","RSP:0D000009003F [47:0]","-","MMC:-","Ncr:6",
"10791","014s:423ms:239us 765 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00077CF8 CRC:20","SC:8","MMC:211.2MHz","Nrc:25",
"10792","014s:423ms:239us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10793","014s:423ms:392us 152 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:30231",
"10794","014s:423ms:392us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10795","014s:423ms:789us 396 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00078690 CRC:05","SC:16","MMC:198.0MHz","Nrc:25",
"10796","014s:423ms:789us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10797","014s:423ms:964us 175 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:34721",
"10798","014s:423ms:964us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10799","014s:426ms:753us 002 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00221C00 CRC:50","SC:64","MMC:211.2MHz","Nrc:25",
"10800","014s:426ms:754us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10801","014s:427ms:042us 288 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:57280",
"10802","014s:427ms:043us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10803","014s:430ms:362us 003 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00221C40 CRC:34","SC:256","MMC:198.0MHz","Nrc:25",
"10804","014s:430ms:362us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10805","014s:431ms:148us 785 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10806","014s:431ms:148us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10807","014s:435ms:907us 004 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00221D40 CRC:3F","SC:288","MMC:198.0MHz","Nrc:25",
"10808","014s:435ms:907us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10809","014s:436ms:782us 874 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10810","014s:436ms:782us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10811","014s:503ms:059us 066 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:001335F8 CRC:76","SC:8","MMC:211.2MHz","Nrc:25",
"10812","014s:503ms:060us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10813","014s:503ms:489us 428 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:Over 64K Cycles",
"10814","014s:503ms:489us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10815","014s:504ms:597us 001 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00046DE8 CRC:7A","SC:8","MMC:211.2MHz","Nrc:25",
"10816","014s:504ms:597us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10817","014s:504ms:818us 220 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:43762",
"10818","014s:504ms:818us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10819","014s:506ms:363us 001 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:003B3FC8 CRC:4A","SC:8","MMC:198.0MHz","Nrc:25",
"10820","014s:506ms:364us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10821","014s:506ms:574us 210 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:41762",
"10822","014s:506ms:574us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10823","014s:514ms:918us 008 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00403048 CRC:71","SC:8","MMC:211.2MHz","Nrc:25",
"10824","014s:514ms:918us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10825","014s:515ms:094us 176 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:34916",
"10826","014s:515ms:094us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10827","014s:516ms:045us 950 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:002B8020 CRC:39","SC:16","MMC:211.2MHz","Nrc:25",
"10828","014s:516ms:045us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10829","014s:516ms:243us 198 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:39278",
"10830","014s:516ms:243us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10831","014s:520ms:613us 004 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00202800 CRC:69","SC:1544","MMC:198.0MHz","Nrc:25",
"10832","014s:520ms:613us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10833","014s:525ms:142us 004 ms"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:Over 64K Cycles",
"10834","014s:525ms:143us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10835","014s:526ms:516us 001 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:003F5008 CRC:2C","SC:128","MMC:198.0MHz","Nrc:25",
"10836","014s:526ms:516us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10837","014s:527ms:080us 563 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10838","014s:527ms:080us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10839","014s:527ms:518us 437 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000B6570 CRC:1C","SC:32","MMC:211.2MHz","Nrc:25",
"10840","014s:527ms:518us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10841","014s:527ms:858us 339 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10842","014s:527ms:858us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10843","014s:528ms:389us 530 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:003F5088 CRC:6D","SC:96","MMC:211.2MHz","Nrc:25",
"10844","014s:528ms:390us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10845","014s:528ms:777us 386 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:Over 64K Cycles",
"10846","014s:528ms:777us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10847","014s:529ms:174us 396 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000B65A8 CRC:68","SC:24","MMC:211.2MHz","Nrc:25",
"10848","014s:529ms:174us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10849","014s:529ms:311us 136 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:27084",
"10850","014s:529ms:311us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10851","014s:529ms:776us 465 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00473020 CRC:2B","SC:8","MMC:198.0MHz","Nrc:25",
"10852","014s:529ms:776us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10853","014s:529ms:968us 191 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:38061",
"10854","014s:529ms:968us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10855","014s:530ms:144us 175 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00473018 CRC:48","SC:8","MMC:211.2MHz","Nrc:25",
"10856","014s:530ms:144us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10857","014s:530ms:237us 092 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:18306",
"10858","014s:530ms:237us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10859","014s:530ms:419us 181 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00473028 CRC:63","SC:56","MMC:198.0MHz","Nrc:25",
"10860","014s:530ms:419us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10861","014s:530ms:657us 238 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:47270",
"10862","014s:530ms:658us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10863","014s:530ms:923us 265 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:002B5010 CRC:15","SC:40","MMC:211.2MHz","Nrc:25",
"10864","014s:530ms:923us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10865","014s:531ms:198us 275 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:54569",
"10866","014s:531ms:199us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10867","014s:531ms:584us 385 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000B6568 CRC:4D","SC:8","MMC:198.0MHz","Nrc:25",
"10868","014s:531ms:584us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10869","014s:531ms:691us 106 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:21125",
"10870","014s:531ms:691us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10871","014s:532ms:266us 575 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:001F4600 CRC:54","SC:296","MMC:211.2MHz","Nrc:25",
"10872","014s:532ms:267us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10873","014s:533ms:291us 001 ms"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10874","014s:533ms:291us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10875","014s:533ms:801us 509 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000BF630 CRC:0F","SC:32","MMC:211.2MHz","Nrc:25",
"10876","014s:533ms:801us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10877","014s:534ms:062us 261 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:51920",
"10878","014s:534ms:063us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10879","014s:534ms:360us 297 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000BF650 CRC:59","SC:24","MMC:198.0MHz","Nrc:25",
"10880","014s:534ms:361us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10881","014s:534ms:532us 171 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:33976",
"10882","014s:534ms:532us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10883","014s:535ms:451us 918 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00208400 CRC:3C","SC:776","MMC:198.0MHz","Nrc:25",
"10884","014s:535ms:451us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10885","014s:537ms:741us 002 ms"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10886","014s:537ms:741us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10887","014s:538ms:227us 485 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000B5C80 CRC:0A","SC:32","MMC:198.0MHz","Nrc:25",
"10888","014s:538ms:227us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10889","014s:538ms:449us 222 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:44052",
"10890","014s:538ms:449us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10891","014s:538ms:743us 293 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000B5CA0 CRC:38","SC:120","MMC:198.0MHz","Nrc:25",
"10892","014s:538ms:743us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10893","014s:539ms:156us 412 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10894","014s:539ms:156us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10895","014s:540ms:198us 001 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00474018 CRC:6E","SC:56","MMC:198.0MHz","Nrc:25",
"10896","014s:540ms:198us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10897","014s:540ms:506us 307 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:61013",
"10898","014s:540ms:506us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10899","014s:540ms:931us 424 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000B6590 CRC:0B","SC:16","MMC:211.2MHz","Nrc:25",
"10900","014s:540ms:931us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10901","014s:541ms:060us 129 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:25598",
"10902","014s:541ms:060us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10903","014s:541ms:557us 496 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:002B5038 CRC:6F","SC:32","MMC:211.2MHz","Nrc:25",
"10904","014s:541ms:557us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10905","014s:541ms:754us 196 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:38956",
"10906","014s:541ms:754us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10907","014s:542ms:139us 385 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000B65A0 CRC:20","SC:8","MMC:211.2MHz","Nrc:25",
"10908","014s:542ms:139us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10909","014s:542ms:229us 089 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:17648",
"10910","014s:542ms:229us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10911","014s:543ms:242us 001 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00202F00 CRC:58","SC:144","MMC:198.0MHz","Nrc:25",
"10912","014s:543ms:242us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10913","014s:543ms:742us 499 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10914","014s:543ms:742us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10915","014s:544ms:374us 632 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:002B5058 CRC:39","SC:112","MMC:198.0MHz","Nrc:25",
"10916","014s:544ms:375us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10917","014s:544ms:789us 414 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10918","014s:544ms:789us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10919","014s:545ms:397us 607 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:002B50C8 CRC:61","SC:48","MMC:198.0MHz","Nrc:25",
"10920","014s:545ms:397us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10921","014s:545ms:605us 207 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:41107",
"10922","014s:545ms:605us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10923","014s:546ms:283us 678 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00208200 CRC:06","SC:344","MMC:198.0MHz","Nrc:25",
"10924","014s:546ms:283us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10925","014s:547ms:380us 001 ms"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10926","014s:547ms:380us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10927","014s:548ms:276us 896 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00211C00 CRC:21","SC:896","MMC:198.0MHz","Nrc:25",
"10928","014s:548ms:276us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10929","014s:550ms:876us 002 ms"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:Over 64K Cycles",
"10930","014s:550ms:876us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10931","014s:551ms:981us 001 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00475000 CRC:06","SC:56","MMC:198.0MHz","Nrc:25",
"10932","014s:551ms:981us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10933","014s:552ms:283us 301 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:59925",
"10934","014s:552ms:283us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10935","014s:552ms:907us 623 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00475038 CRC:65","SC:32","MMC:211.2MHz","Nrc:25",
"10936","014s:552ms:907us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10937","014s:553ms:088us 181 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:35919",
"10938","014s:553ms:089us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10939","014s:554ms:082us 993 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00209E00 CRC:4B","SC:312","MMC:198.0MHz","Nrc:25",
"10940","014s:554ms:082us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10941","014s:555ms:091us 001 ms"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"10942","014s:555ms:091us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10943","014s:555ms:510us 419 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000B5C48 CRC:67","SC:32","MMC:211.2MHz","Nrc:25",
"10944","014s:555ms:511us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10945","014s:555ms:692us 181 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:35954",
"10946","014s:555ms:692us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"10947","014s:555ms:911us 218 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000B5C68 CRC:55","SC:24","MMC:211.2MHz","Nrc:25",
"10948","014s:555ms:911us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"10949","014s:556ms:062us 151 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:29942",
"10950","014s:556ms:063us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
